"include_spelling"	"occurrences"	"caller_count"	"caller_paths"	"upstream_header_paths"	"upstream_package_roots"	"stage1_state"	"next_stage"	"first_hop_owner"	"first_hop_kind"
"intapi.h"	"1"	"1"	"dpmi32/dpmiint.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"into.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/into.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"intx.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/intx.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"invd.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/invd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"invlpg.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/invlpg.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"io.h"	"7"	"7"	"dos/dem/dem.c;dos/dem/demdasd.c;dos/dem/demhndl.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_rez.c;softpc.new/host/src/nt_unix.c;softpc.new/host/src/nt_vflop.c"	"base/crts/crtw32/h/io.h;base/crts/libw32/include/io.h;base/ntos/inc/io.h;public/sdk/inc/crt/io.h;sdktools/jetadmin/inc/io.h"	"base/crts/crtw32;base/crts/libw32;base/ntos/inc;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"ios.h"	"56"	"56"	"softpc.new/base/bios/cmos_bis.c;softpc.new/base/bios/reset.c;softpc.new/base/bios/rtc_bios.c;softpc.new/base/bios/slave_bs.c;softpc.new/base/bios/tape_io.c;softpc.new/base/ccpu386/in.c;softpc.new/base/ccpu386/out.c;softpc.new/base/comms/com.c;softpc.new/base/comms/printer_.c;softpc.new/base/comms/printer.c;softpc.new/base/comms/rs232_io.c;softpc.new/base/debug/dasm.c;softpc.new/base/debug/ega_dump.c;softpc.new/base/debug/yoda.c;softpc.new/base/disks/diskbios.c;softpc.new/base/disks/fdisk.c;softpc.new/base/disks/fla.c;softpc.new/base/disks/floppy_i.c;softpc.new/base/disks/floppy.c;softpc.new/base/disks/gfi_mpty.c;softpc.new/base/disks/gfi_test.c;softpc.new/base/disks/gfi.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/base/keymouse/mouse.c;softpc.new/base/keymouse/ppi.c;softpc.new/base/support/ios.c;softpc.new/base/support/time_day.c;softpc.new/base/system/at_dma.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/ica.c;softpc.new/base/system/timer.c;softpc.new/base/system/unexp_nt.c;softpc.new/base/video/cga.c;softpc.new/base/video/ega_dmmy.c;softpc.new/base/video/ega_prts.c;softpc.new/base/video/ega_read.c;softpc.new/base/video/ega_vide.c;softpc.new/base/video/gfx_updt.c;softpc.new/base/video/v7_ports.c;softpc.new/base/video/v7_video.c;softpc.new/base/video/vga_prts.c;softpc.new/base/video/vga_vide.c;softpc.new/base/video/video.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_cpu.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_hunt.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_umb.c;softpc.new/host/src/nt_vdd.c;softpc.new/host/src/nt_vflop.c"	"base/crts/crtw32/h/ios.h;base/crts/libw32/include/ios.h;public/sdk/inc/crt/ios.h;sdktools/jetadmin/inc/ios.h"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"iret.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/iret.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"j_c_lang.h"	"36"	"36"	"softpc.new/base/cpu/src/evid/ev_glue.c;softpc.new/base/cvidc/ev_glue.c;softpc.new/base/cvidc/sevid000.c;softpc.new/base/cvidc/sevid001.c;softpc.new/base/cvidc/sevid002.c;softpc.new/base/cvidc/sevid003.c;softpc.new/base/cvidc/sevid004.c;softpc.new/base/cvidc/sevid005.c;softpc.new/base/cvidc/sevid006.c;softpc.new/base/cvidc/sevid007.c;softpc.new/base/cvidc/sevid008.c;softpc.new/base/cvidc/sevid009.c;softpc.new/base/cvidc/sevid010.c;softpc.new/base/cvidc/sevid011.c;softpc.new/base/cvidc/sevid012.c;softpc.new/base/cvidc/sevid013.c;softpc.new/base/cvidc/sevid014.c;softpc.new/base/cvidc/sevid015.c;softpc.new/base/cvidc/sevid016.c;softpc.new/base/cvidc/sevid017.c;softpc.new/base/cvidc/sevid018.c;softpc.new/base/cvidc/sevid019.c;softpc.new/base/cvidc/sevid020.c;softpc.new/base/cvidc/sevid021.c;softpc.new/base/cvidc/sevid022.c;softpc.new/base/cvidc/sevid023.c;softpc.new/base/cvidc/sevid024.c;softpc.new/base/cvidc/sevid025.c;softpc.new/base/cvidc/sevid026.c;softpc.new/base/cvidc/sevid027.c;softpc.new/base/cvidc/sevid028.c;softpc.new/base/cvidc/sevid029.c;softpc.new/base/cvidc/sevid030.c;softpc.new/base/cvidc/sinit011.c;softpc.new/base/cvidc/sinit012.c;softpc.new/base/cvidc/sinit013.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"jcxz.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/jcxz.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"jmp.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/jmp.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"jxx.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/jxx.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"keyba.h"	"6"	"5"	"softpc.new/base/bios/reset.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_input.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"keyboard.h"	"7"	"7"	"softpc.new/base/bios/reset.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_input.c;softpc.new/host/src/nt_reset.c"	"sdktools/z/inc/keyboard.h"	"sdktools/z/inc"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"lahf.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lahf.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lar.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lar.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lea.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lea.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"leave.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/leave.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lgdt.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lgdt.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lidt.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lidt.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lldt.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lldt.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lmaccess.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/sdk/inc/lmaccess.h;sdktools/jetadmin/inc/lmaccess.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmapibuf.h"	"2"	"2"	"vdmredir/vrnetapi.c;vdmredir/vrremote.c"	"public/sdk/inc/lmapibuf.h;sdktools/jetadmin/inc/lmapibuf.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmcons.h"	"5"	"5"	"vdmredir/vrmslot.c;vdmredir/vrnetapi.c;vdmredir/vrnmpipe.c;vdmredir/vrputil.c;vdmredir/vrremote.c"	"public/sdk/inc/lmcons.h;sdktools/jetadmin/inc/lmcons.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmerr.h"	"5"	"5"	"vdmredir/vrmslot.c;vdmredir/vrnetapi.c;vdmredir/vrnmpipe.c;vdmredir/vrputil.c;vdmredir/vrremote.c"	"public/sdk/inc/lmerr.h;sdktools/jetadmin/inc/lmerr.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmserver.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/sdk/inc/lmserver.h;sdktools/jetadmin/inc/lmserver.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmsw.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lmsw.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lmuse.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/sdk/inc/lmuse.h;sdktools/jetadmin/inc/lmuse.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lmwksta.h"	"2"	"2"	"vdmredir/vrnetapi.c;vdmredir/vrremote.c"	"public/sdk/inc/lmwksta.h;sdktools/jetadmin/inc/lmwksta.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"lock.h"	"1"	"1"	"softpc.new/host/src/nt_rflop.c"	"base/fs/mup/lock.h;base/fs/rdr/driver/lock.h;base/fs/srv/lock.h"	"base/fs/mup;base/fs/rdr;base/fs/srv"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"loopxx.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/loopxx.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lsl.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lsl.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"ltr.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/ltr.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"lxs.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/lxs.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"malloc.h"	"22"	"22"	"dpmi32/dpmiselr.c;dpmi32/i386/dpmi386.c;dpmi32/savestat.c;dpmi32/xmem.c;sim32/sim32.c;softpc.new/base/bios/virtual.c;softpc.new/base/comms/com.c;softpc.new/base/dos/emm_mngr.c;softpc.new/base/system/quick_ev.c;softpc.new/base/system/rom.c;softpc.new/base/video/video.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_cpu.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_lpt.c;suballoc/tsa.c;v86/monitor/i386/sas.c;v86/monitor/i386/thread.c;v86/scaffold/i386/softpc.c;vdmredir/vrdebug.c"	"base/crts/crtw32/h/malloc.h;base/crts/libw32/include/malloc.h;com/ole32/olethunk/ole16/inc/malloc.h;public/sdk/inc/crt/malloc.h;sdktools/jetadmin/inc/malloc.h"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"math.h"	"3"	"3"	"softpc.new/base/ccpu386/fpu.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/stubs.c"	"base/crts/crtw32/h/math.h;base/crts/libw32/include/math.h;com/ole32/olethunk/ole16/inc/math.h;public/sdk/inc/crt/math.h;sdktools/jetadmin/inc/math.h"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"memapi.h"	"4"	"4"	"dpmi32/dpmimemr.c;wow32/wdib.c;wow32/wkmem.c;xms.486/xms.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"memory.h"	"9"	"9"	"dos/command/cmdenv.c;dos/command/cmdmisc.c;dos/dem/demsrch.c;dpmi32/i386/dpmi386.c;softpc.new/base/debug/yoda.c;softpc.new/host/src/nt_ega.c;vdmutils/forcedos/forcedos.c;vdmutils/pifedit/mods.c;xms.486/xmsblock.c"	"base/crts/crtw32/h/memory.h;base/crts/libw32/include/memory.h;com/ole32/olethunk/ole16/inc/memory.h;public/sdk/inc/crt/memory.h;sdktools/jetadmin/inc/memory.h;sdktools/slmnew/util/setup/include/memory.h;sdktools/vctools/link/coff/memory.h"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/slmnew/util;sdktools/vctools/link"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"mmsystem.h"	"1"	"1"	"vdd/samples/vsbd/vdd.c"	"public/sdk/inc/mmsystem.h;sdktools/jetadmin/inc/mmsystem.h;sdktools/jetadmin/sdk/inc32/mmsystem.h"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"modern public Win32 UI/console/spool binding; private historical entrypoints seed ntcon/ntuser/ntgdi BFS"	"public-api-or-private-client-candidate"
"mods.h"	"2"	"2"	"vdmutils/pifedit/mods.c;vdmutils/pifedit/pifedit.c"	""	""	"selected MVDM tool-local declaration; no host-runtime external edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"monitorp.h"	"4"	"4"	"v86/monitor/i386/int.c;v86/monitor/i386/monitor.c;v86/monitor/i386/sas.c;v86/monitor/i386/thread.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"monregs.h"	"1"	"1"	"softpc.new/host/src/nt_thred.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mouse_io.h"	"6"	"6"	"softpc.new/base/bios/reset.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/base/keymouse/mouse.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_reset.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mouse.h"	"3"	"3"	"softpc.new/base/bios/reset.c;softpc.new/base/keymouse/mouse.c;softpc.new/host/src/nt_event.c"	"sdktools/z/inc/mouse.h"	"sdktools/z/inc"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"mouse16b.h"	"1"	"1"	"softpc.new/base/keymouse/mouse_io.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mov.h"	"6"	"6"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_reg.c;softpc.new/base/ccpu386/c_tsksw.c;softpc.new/base/ccpu386/lxs.c;softpc.new/base/ccpu386/mov.c;softpc.new/base/ccpu386/pop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"movsx.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/movsx.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mscdex.h"	"1"	"1"	"vdd/samples/mscdex/vdd/vcdex.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mul.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/mul.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"mvdm.h"	"17"	"17"	"dbg/dbg.c;dos/command/cmdconf.c;dos/command/cmddata.c;dos/command/cmdenv.c;dos/command/cmdexec.c;dos/command/cmdkeyb.c;dos/command/cmdmisc.c;dos/command/cmdpif.c;dos/command/cmdredir.c;dos/dem/demfcb.c;dos/dem/demgset.c;dos/dem/demhndl.c;dos/dem/demmisc.c;dos/dem/demsrch.c;vdmredir/vrnetb.c;vdmredir/vrremote.c;xms.486/xmsblock.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nb30.h"	"3"	"3"	"vdmredir/vrdisp.c;vdmredir/vrinit.c;vdmredir/vrnetb.c"	"public/sdk/inc/nb30.h;sdktools/jetadmin/inc/nb30.h;sdktools/jetadmin/sdk/inc32/nb30.h"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"neg.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/neg.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"netb.h"	"3"	"3"	"vdmredir/vrdisp.c;vdmredir/vrinit.c;vdmredir/vrnetb.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"netlibnt.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/internal/ds/inc/netlibnt.h"	"public/internal/ds"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"newnpx.h"	"1"	"1"	"softpc.new/base/ccpu386/zfrsrvd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nop.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/nop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"not.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/not.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"novell.h"	"2"	"2"	"softpc.new/base/bios/reset.c;softpc.new/base/support/terminat.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_cga.h"	"2"	"2"	"softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_graph.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_cgalt.h"	"1"	"1"	"softpc.new/host/src/nt_cga.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_com.h"	"7"	"7"	"softpc.new/host/src/nt_bop.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_ntfun.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_wcom.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_confg.h"	"1"	"1"	"softpc.new/host/src/stf_conf.c"	""	""	"selected MVDM local generated/header input; source-layout reconciliation, no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_det.h"	"5"	"5"	"softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_sec.c;softpc.new/host/src/nt_timer.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_ega.h"	"2"	"2"	"softpc.new/host/src/nt_ega.c;softpc.new/host/src/nt_graph.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_egalt.h"	"1"	"1"	"softpc.new/host/src/nt_ega.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_eoi.h"	"16"	"16"	"softpc.new/base/keymouse/keyba.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/ica.c;softpc.new/base/system/qevnt.c;softpc.new/base/system/timer.c;softpc.new/host/src/nt_bop.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_eoi.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_sec.c;softpc.new/host/src/nt_timer.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_event.h"	"14"	"13"	"softpc.new/base/keymouse/mouse_io.c;softpc.new/host/src/config.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_input.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_timer.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_fdisk.h"	"3"	"3"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_fdisk.c;softpc.new/host/src/nt_rflop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_fulsc.h"	"12"	"12"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_ega.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_sec.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_vga.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_getXX.h"	"1"	"1"	"softpc.new/host/src/nt_yoda.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"nt_graph.h"	"18"	"18"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_ega.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_munge.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_smenu.c;softpc.new/host/src/nt_term.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_vga.c;softpc.new/host/src/nt_wcom.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
