"reference_path"	"sha256"	"candidate_kind"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-softpc/include/softpc.new/base/inc/gisp_sas.h"	"2413fd0f1b4a4d9cb0238a4c811d088d2d0d1b0c0eaa423956400bd8256558e3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gispsvga.h"	"27cf2b856a23d0fb84e1162959043377dade1414d063349acaf952cf741bf60e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gmi.h"	"f1a15d96d876ba67ee8a60a6cf163351ace81fe32b22d7120b72101012ca2285"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gore.h"	"ef1880d39bc72f79dae1b4a14103e99765cfb78968304142388a83e0ab3049f2"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gvi.h"	"c4dfbf2bb2d6e8d79e9fd607f6ab50b149a5edb2768b25d2475002e2e9940716"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/harness.h"	"353bec829d0c72688de573f98949fd054930fcc97e589e68fbea8ee0699f29b5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/haw.h"	"275a5fe153a3c54c2b1dacbbfc55466ee8c5b716a2bc92f53bab2e232bd9ab64"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/herc.h"	"79a9022310c6f37f6d2edbe05281d1edfd226e99b09a043b27b216ae1a084eb5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hfx.h"	"88f2ba15861dbb20e502b88b650c37aa3f5a569368665105b24c11e89b6bb758"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hg_cpu.h"	"8e00125bee953744afd8dfc827b970f98e44adb0448bd1de97ebdc1671697d06"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hg_sas.h"	"8ee2f4d5f08c78e1e25f5cd3aaf1fda95c7a5833449f9100c9236c9b63368344"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hg_stat.h"	"b628d6dd29dbf4b1f039f0362922ade1dc1e4588c5271b95f45a7addd080e9ea"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host.h"	"854b241a3f9da0436749c1c37cb0cdf312ea8e3a83b64ac5bb85152ac98ed693"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_cfg.h"	"b51660d37cc8249d10c74800eea996836c807e108ba627bbaf799078ae9098f6"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_com.h"	"d7085b215a923dc8df3a9dd44bdc3739d3035ac2fe8978f282b6a3cafd97b68b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_fio.h"	"28c33ad38e38f45a0b66268b8f4f90c6269f0a0fbf428c78063b6bee2e4af388"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_gwi.h"	"c8ba2cd7ec941fbfd4a601845c098bb78ec589bab1ac94cad74e1f9c7ffc4c0d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_hun.h"	"b2ef5f35b0828ada5881db818e59d7578dfa080e2321aa98f0bb6f315aef3936"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_lpt.h"	"8fdfe8fbd8e8dd4a9746a50851410a051f640365e3d59d9ed8024dfb397da820"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_msw.h"	"cf1ec4ebdc5ea03737bb97c8d0f5d82f52158e02927edb65e0e0eee5f9da4636"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_nls.h"	"59a01bea1d8b7960f22093a61b4e0b1554393406b339dd182ef5dff5b9e88bfc"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_pth.h"	"82a1cb3e1d14f3561f048a82967c5129048146778db3bc79881c28a95df98d95"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_sas.h"	"42f3e8b6a7ad9f4628ae35cd133b6747a19b840c0d3ead23d2d1567874c4e717"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_sig.h"	"c3090a8b6b8f9f270d8d4276b88c4b5157c928a38b27ec79cccef4186d6a108b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_str.h"	"6f4937cffde44e3db9ccf0950fcd13b8a5bcf871cbaca778650853d746294e95"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/host_uis.h"	"929e79db4ec85a73286a04100c74415091bf7ce3f9ee890e374edeae47c103df"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hosthunt.h"	"2af5ffe292725c250f8ce2df821b4c8b9996d89958f144dcacd8d405ca633fe2"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hunter.h"	"92958f20ad0e03e8423eb190f0793813e02a752b1820e94aff01049573475edf"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/hwvga.h"	"5230bef1d6b5773f92fa6fe1f4c9d7b19e05c171be1491e9cab52016ab820b72"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ica.h"	"5a28ccc583c85122b62a1cdbf6357fdea62b64c714f4fe12089e1c9ef9d6537a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/idetect.h"	"b1b14373174f23549bafb75d01052e5f3f4d92b1d81305a8ed038b59354bdf55"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ios.h"	"ae58169de7aa969000f7cf4374d3d850b55d352c3d4c6edcf52dec0e985620a4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ipx.h"	"def98422d6628b7d6936a6d0628b29b9c94a6d805decc56d621f089130f2cdcf"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/j_c_lang.h"	"1c0727f420986a3cde9992af5cf3c4c7b084029f3a3a4c04ad7549e7b01235a4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/jcgensyn.h"	"6f207de257898856faa00baf78e381b15303e3ff57900af0ca4f651015cdbe15"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/jformate.h"	"49c0cd38a4a2da229e784768d5e10ed831d3abce76bd119cddb154dae293ada5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/keyba.h"	"619a9be301eb3a4ca8632d2f2459413e8285c4796e3de35e20aba2488aa7a0b9"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/keyboard.h"	"1fe1d02140170eef068a61e8feec7f2e6bafc2d235ca6d2b345f898827f8ad9e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/keycaps.h"	"aeeafe559ee28ae484897740af13b51de2105e5b17a1d3bae78a01d7bb6514e2"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/kybdmtx.h"	"04a7c5cfcbc08fcaef296feb55edcf779d616ba7fd0ab8fc8110ed2442a03c37"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/lm_attr.h"	"f0daa6a32aff8415e2921b57012752535e40751ac1a88b1f371a82e1ad4763f6"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/lm_clien.h"	"dcf42ddb359e55b9368c5d4e4b8f7a4ed075af40e26328b0434e3565406a8c6b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/lm_code.h"	"981cee8585698990b8d7c69f3fd256a01219c2033fa81830c4b6887e33545f2f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/loader.h"	"c195ab5835bc1f5fda5d84e4539c9adece36417ffc5663fb5b789f971eb6bae3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/lock.h"	"bfca88d9c901515a44ea12290d10da19bdbcfb66227cc497aaf78d93950a022d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/low_intp.h"	"71f6bbc11d7020b985a36ae68419ec42f6779b897be564771de00ede350fb644"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/lq2500.h"	"87deb2b8504ff62f7d05464a4a6c26924117c213e34b77bb47b3f091fc86c296"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/m_errorp.h"	"ca61755977b972853bda02c4f659554e14efd7b7abab238f0b30e51dbd9b3d66"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/m_fs.h"	"b6206bbaab8b425286721c07e1c7082dfdc0e3ff103d7d753420bcb7ef2f398e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/m_keybdp.h"	"a02fa7b65c939ad128b4776aed4f2e3fb64d3376d9145cbe3dd79e5a7d12d8a9"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/m_lpcmp.h"	"157ac9a370fc9c2e7586dbea939d39c6f0ca1ef32f91f1f2a26e441fa9fb4628"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/make_dis.h"	"e052f7d27ec858eb4bd7164c7bfda179dbea7080541756d82b719c632521e759"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/mark_ima.h"	"9af24af31e9c5da70bb8c25fe0aca758815fa186c185282e754535839b6e80f8"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/mda.h"	"751acb35ec7364ee370077bc909c6a4cf2d4472d18e3259e29f43c7665079a52"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/mouse.h"	"f63c726698057991eeff3b172c4b4bdd7e5948e00bffe15782c37293a21132ce"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/mouse_io.h"	"6387d3317faaa0ab35c3652abc52283601a996bcb0f3019234a2cdb246a6662a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/mouse16b.h"	"ef535eea17068630110026351373b0e5514ae2464a92474633dbe8140318b250"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ms_windo.h"	"f76510e61219069b0864434a6920a8639c4f7d2905d0ab9df22e0663ed27e52d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/msw_dbg.h"	"3726b678c5bd4e98484c423b685b178d28c074625ce1de934d946f07021848e7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/msw_keyb.h"	"e39f2af151f2f67f17610d2834254a3cf7063f51ed6faf3e90c25ef799847785"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/msw_snd.h"	"3cb956d90427a1212e64c08bee246cf11c261545d5ac2d7f5764a8d7d27fb7dc"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/novell.h"	"4fb1d6008cbaea0c3b36985743ec00bbf0441fa3aeea1fbefb17c6a598a0bcbf"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ppi.h"	"7967ae65e76cb00e58f350e87cd115b6ed7a97c81ff96e3b528f9740d3378612"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/printer.h"	"c4c064dd442805e2942a799d8c90b46d6f26e4fbe5bba58799f53bbbebb42092"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/profile.h"	"67a8fc100d29da9b908f2fb4f8b437963bb64193732279a6c31751895e86d14d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/quick_ev.h"	"c59fec315058b2cc03394d02d9c3756350357f7eb8cb48a541e56aae1b7939a2"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/rom.h"	"2075310f9ca8a1a94d9606cd79af36328615412b6912e17f50e2b46081685a5a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/rommap.h"	"ff6e61f520e51ee7f64b8ee96bf55ecb2e634f9dc139ced165fcc06ab7baeb05"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/rs232.h"	"80ddf84cdde4d7e5544210a489a103b2850a38f9f3a285199eb07ac8de4e7779"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/rtc_bios.h"	"ef200bc2174e6bda4010095c1e7615e55a57eeaaa6a7f37f2484afa435414f13"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/sas.h"	"63832958d3a6b9ef2f9f209e5ada4af8067fab3b5cdb6f317c5663cbd2b5f2ef"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/sasp.h"	"fb0a92f22363b461916789c31bc6f254611d705ea3f4db0a42cd5421ed7febf4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/smeg.h"	"a5437ed7c7fcee1dc3b67304cbeec0a0c949c5770f53406b6b8a0f594ba3b136"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/smeg_hea.h"	"ca784c2c076245462181acb61ad44dd89e92d26beef4227864152a50f9d5a47d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/spc_icon.h"	"0f49f06c62860a0d5d9b0c645d148cf00416c341c3c82a7ec307349657781eea"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/spcfile.h"	"f66a4e556950df5f302a18068f30eb871747af4609793435024b312b08780b6e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/standard.h"	"4828e8fdb81f7d6d4d1d13f5adad76fe40fa80732a1fa19c94197d1b804595c2"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/suplib.h"	"012bcdd28b9d105a6d4bf9c01bbdfa8ccf855910cb00119ba7b1c45884237f7f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/swinhelp.h"	"df7d0d15f908e554d41a119ef947a744861ae5b29fec9b4204eea687f9743717"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/swinmgre.h"	"303ca6566369a686647b246c859b4aa39260acefd9da38ae00cf28396e3e93fe"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/tape_io.h"	"cca3e19561b62ecebe674f180faf6d0760f581433563e84711dc742d871fb309"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/tcpip.h"	"9aeffc3eb1280b20eaa859ef2b36e1fef23c8bb2fe3b7f60a3018150754aa8a7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/timer.h"	"b5704cc3ec76cd4dc010eeecc07e4c78ff76428266f6719cf34a65c9dd4b1f2d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/timestmp.h"	"b7f26a48bc185445a4a30bdc3cc3db597dc706b0148b34ea97be7f29c273edf1"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/timeval.h"	"49ab8b88c971a9da3d0cadc974f04f6c329aef23c25efd8bfd7e3d50b1a8dfc0"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/tmstrobe.h"	"218c4f4841da5180d2140c1179a555dd4b33bdfebf04fe76b3a0f245e17f6ca4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/trace.h"	"d70092a47d833c0ec3d859ebe7963feb374f5f0abb9288a03f9ffea7198b275f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/tredltr.h"	"0fac7a13402da75950b2f701e3700442cf21a2fc73686301566ed3f9035fc952"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
